,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,Age,AvgMonthlyGBDownload,AvgMonthlyLongDistanceCharges,CLTV,City,DeviceProtectionPlan,Gender,InternetType,Latitude,Longitude,Married,MonthlyCharge,NumberofDependents,NumberofReferrals,Offer,Population,PremiumTechSupport,Product/ServiceIssuesReported,ReferredaFriend,StreamingMusic,TenureinMonths,TotalCustomerSvcRequests,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRefunds,TotalRegularCharges,Under30,UnlimitedData,ZipCode
0,0,1,0,1,0,No phone service,1,0,1,0,0,Month-to-month,1,Electronic check,29.85,0,36,10,0.0,3964,Los Angeles,0,0,Fiber Optic,33.973616,-118.24902,1,29.85,0,0,Offer E,54492,0,0,0,0,1,2,0.0,0.0,0.0,29.85,0,1,90001
1,0,0,0,34,1,0,1,1,0,0,0,One year,0,Mailed check,56.95,0,46,16,17.09,3441,Los Angeles,1,1,Fiber Optic,33.949255,-118.246978,0,56.95,0,0,None,44586,0,0,0,0,34,1,30.23,581.06,0.0,1889.5,0,1,90002
2,0,0,0,2,1,0,1,1,1,0,0,Month-to-month,1,Mailed check,53.85,1,37,23,10.47,3239,Los Angeles,0,1,Fiber Optic,33.964131,-118.272783,0,56.00400000000001,0,0,None,58198,0,0,0,0,2,4,0.0,20.94,0.0,108.15,0,1,90003
3,0,0,0,45,0,No phone service,1,1,0,0,0,One year,0,Bank transfer (automatic),42.3,0,53,10,0.0,4307,Los Angeles,1,1,DSL,34.076259,-118.31071499999999,0,42.3,0,0,None,67852,1,0,0,0,45,4,0.0,0.0,0.0,1840.75,0,1,90004
4,0,0,0,2,1,0,1,0,0,0,0,Month-to-month,1,Electronic check,70.7,1,19,56,9.12,2701,Los Angeles,0,0,Cable,34.059281,-118.30742,0,73.528,2,0,None,43019,0,0,0,0,2,0,0.0,18.24,0.0,151.65,1,1,90005
5,0,0,0,8,1,1,1,0,0,1,1,Month-to-month,1,Electronic check,99.65,1,31,29,12.15,5372,Los Angeles,1,0,DSL,34.048013,-118.293953,0,103.636,2,0,None,62784,0,1,0,1,8,2,238.0,97.2,0.0,820.5,0,0,90006
6,0,0,1,22,1,1,1,0,1,1,0,Month-to-month,1,Credit card (automatic),89.1,0,42,53,29.54,4459,Los Angeles,0,1,Fiber Optic,34.027337,-118.28515,0,89.1,3,0,Offer D,45025,0,0,0,0,22,0,0.0,649.88,0.0,1949.4,0,1,90007
7,0,0,0,10,0,No phone service,1,1,0,0,0,Month-to-month,0,Mailed check,29.75,0,42,8,0.0,2013,Los Angeles,0,0,Fiber Optic,34.008293,-118.34676599999999,0,29.75,0,0,Offer D,30852,0,0,0,0,10,0,0.0,0.0,0.0,301.9,0,1,90008
8,0,1,0,28,1,1,1,0,0,1,1,Month-to-month,1,Electronic check,104.8,1,23,52,4.89,5003,Los Angeles,1,0,DSL,34.062125,-118.31570900000001,1,108.992,3,0,Offer C,1957,1,1,0,1,28,2,1584.0,136.92,0.0,3046.05,1,0,90010
9,0,0,1,62,1,0,1,1,1,0,0,One year,0,Bank transfer (automatic),56.15,0,48,8,7.96,4529,Los Angeles,0,1,Fiber Optic,34.007090000000005,-118.25868100000001,0,56.15,0,0,Offer B,101215,0,0,0,0,62,1,0.0,493.52,0.0,3487.95,0,1,90011
10,0,1,1,13,1,0,1,1,0,0,0,Month-to-month,1,Mailed check,49.95,0,37,22,29.68,5764,Los Angeles,0,1,Fiber Optic,34.065875,-118.23872800000001,1,49.95,2,1,Offer D,30596,0,0,1,0,13,3,0.0,385.84,0.0,587.45,0,1,90012
11,0,0,0,16,1,0,0,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,0,21,0,32.62,4726,Los Angeles,0,1,NA,34.044639000000004,-118.24041299999999,0,18.95,0,0,Offer D,9732,0,0,0,0,16,0,0.0,521.92,0.0,326.8,1,0,90013
12,0,1,0,58,1,1,1,0,0,1,1,One year,0,Credit card (automatic),100.35,0,39,10,5.69,6432,Los Angeles,1,1,Fiber Optic,34.043144,-118.251977,1,100.35,0,7,Offer B,3524,0,1,1,1,58,2,0.0,330.0200000000001,0.0,5681.1,0,1,90014
13,0,0,0,49,1,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),103.7,1,38,12,44.33,5340,Los Angeles,1,1,Cable,34.039224,-118.26629299999999,0,107.848,1,0,None,15140,0,2,0,1,49,2,0.0,2172.17,0.0,5036.3,0,1,90015
14,0,0,0,25,1,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.5,0,27,48,10.4,5822,Los Angeles,1,1,Fiber Optic,34.028331,-118.35433799999998,0,105.5,0,0,None,46984,1,0,0,1,25,0,1289.0,260.0,0.0,2686.05,1,0,90016
15,0,1,1,69,1,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,0,48,3,33.23,5141,Los Angeles,1,0,DSL,34.052842,-118.264495,1,113.25,0,7,Offer A,20692,1,0,1,1,69,2,237.0,2292.87,0.0,7895.15,0,0,90017
16,0,0,0,52,1,0,0,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,0,57,0,22.55,5186,Los Angeles,0,0,NA,34.028735,-118.31723600000001,0,20.65,0,0,Offer B,47143,0,0,0,0,52,0,0.0,1172.6,0.0,1022.95,0,0,90018
17,0,0,1,71,1,1,1,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,0,61,7,14.67,4479,Los Angeles,1,1,DSL,34.049841,-118.33846000000001,0,106.7,0,0,None,67520,0,0,0,1,71,0,0.0,1041.57,0.0,7382.25,0,1,90019
